"Id","Titulo","Precio","Modelo_anyo","Kilometros","Ubicacion","URL","Color","Combustible","Recorrido","Marca","Modelo","Unico","Placa","Anyo","Version","FrenosABS","Aire","Airbag","Asientos","Cilindros","Direccion","Financiamiento","Motor","Negociable","MotorReparado","Sonido","Traccion","Transmision","Vidrios"
1,"Mazda 2 Mazda 2 At 1500 2009","$ 24.800.000","2009","91.200 Km","Santander","http://articulo.tucarro.com.co/MCO-454015292-mazda-2-at-2009-15-gasolina-_JM","Rojo","Gasolina","91200","Mazda","Mazda 2",,"CWJ-869","2009","Mazda 2 AT 1500 2009","Sí","Sí","Sí","Cuero",,"Asistida","Sí","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
2,"Mazda 2 Gran Touring","$ 56.000.000","2018","650 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454121001-mazda-mazda-2-gran-touring-_JM","Otro","Gasolina","650","Mazda","Mazda 2","Sí","DQT-832","2018","Gran Touring","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí",,"MP3",,"Automática","Eléctricos"
3,"Mazda 2 1.5 At Fe","$ 24.500.000","2009","77.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454118584-mazda-mazda-2-15-at-fe-_JM","Gris","Gasolina","77000","Mazda","Mazda 2",,"CUN-052","2009","1.5 AT FE","Sí","Sí","Sí","Cuero",,"Hidráulica",,"1500","Sí",,"MP3",,"Automática","Eléctricos"
4,"Mazda 2 Sport","$ 36.000.000","2015","29.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454111510-mazda-mazda-2-sport-_JM","Gris","Gasolina","29000","Mazda","Mazda 2","Sí","ZZY-789","2015","Sport","Sí","Sí","Sí","Cuero","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
5,"Mazda 2 Aut 1.5","$ 45.800.000","2016","11.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454110861-mazda-mazda-2-aut-15-_JM","Gris","Gasolina","11000","Mazda","Mazda 2","Sí","IHT-306","2016","AUT 1.5","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
6,"Mazda 2","$ 36.500.000","2014","27.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454109013-mazda-mazda-2-_JM","Gris","Gasolina","27000","Mazda","Mazda 2","Sí","HKU-932","2014",,"Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí",,"MP3",,"Automática","Eléctricos"
7,"Mazda 2 Grand Touring","$ 49.000.000","2016","9.000 Km","Santander","http://articulo.tucarro.com.co/MCO-454100091-mazda-mazda-2-grand-touring-_JM","Plateado","Gasolina","9000","Mazda","Mazda 2","Sí","IPQ-576","2016","Grand Touring","Sí","Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3",,"Automática","Eléctricos"
8,"Mazda 2","$ 26.700.000","2011","73.500 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454065596-mazda-mazda-2-_JM","Plateado","Gasolina","73500","Mazda","Mazda 2",,"RGP-870","2011",,"Sí","Sí","Sí","Cuero",,"Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
9,"Mazda 2","$ 27.000.000","2010","41.000 Km","Cundinamarca","http://articulo.tucarro.com.co/MCO-454060299-mazda-mazda-2-_JM","Blanco","Gasolina","41000","Mazda","Mazda 2","Sí","RAL-749","2010",,"Sí","Sí","Sí","Tela",,"Hidráulica",,,"Sí",,"MP3",,"Mecánica","Eléctricos"
10,"Mazda 2 Hatch Back","$ 26.500.000","2010","61.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454045454-mazda-mazda-2-hatch-back-_JM","Blanco","Gasolina","61000","Mazda","Mazda 2","Sí","RBR230","2010","HATCH BACK","Sí","Sí","Sí","Tela","4","Asistida","No","1500","Sí","No","CD",,"Mecánica","Eléctricos"
11,"Mazda 2","$ 32.000.000","2013","56.000 Km","Risaralda","http://articulo.tucarro.com.co/MCO-454004176-mazda-mazda-2-_JM","Gris","Gasolina","56000","Mazda","Mazda 2",,"MUU-533","2013",,,"Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"R/Rep.",,"Mecánica","Eléctricos"
12,"Mazda 2 Hb","$ 29.300.000","2012","45.700 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453933872-mazda-mazda-2-hb-_JM","Gris","Gasolina","45700","Mazda","Mazda 2","No","MBV-482","2012","HB",,"Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"R/Rep.",,"Mecánica","Eléctricos"
13,"Mazda 2 Hb Mt 1500cc","$ 36.700.000","2015","23.300 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453758198-mazda-mazda-2-hb-mt-1500cc-_JM","Blanco","Gasolina","23300","Mazda","Mazda 2","Sí","ZYR-003","2015","HB MT 1500CC","Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
14,"Mazda 2 Sport Fe","$ 25.599.999","2011","52.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454064148-mazda-mazda-2-sport-fe-_JM","Blanco","Gasolina","52000","Mazda","Mazda 2","No","RBX-380","2011","Sport FE","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
15,"Mazda 2","$ 25.500.000","2010","102.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454110717-mazda-mazda-2-_JM","Gris","Gasolina","102000","Mazda","Mazda 2",,"FHP-646","2010",,"Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
16,"Mazda 2","$ 28.900.000","2010","53.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454109695-mazda-mazda-2-_JM","Blanco","Gasolina","53000","Mazda","Mazda 2",,"KBP-363","2010",,"Sí","Sí","Sí","Cuero","4","Hidráulica","No","1500","Sí",,"MP3","4x2","Automática","Eléctricos"
17,"Mazda 2 Hb","$ 27.000.000","2009","61.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454108446-mazda-mazda-2-hb-_JM","Gris","Gasolina","61000","Mazda","Mazda 2","No","MON-905","2009","HB","Sí","Sí","Sí","Cuero","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
18,"Mazda 2 Grand Touring","$ 49.000.000","2016","28.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454054813-mazda-mazda-2-grand-touring-_JM","Negro","Gasolina","28000","Mazda","Mazda 2","Sí","USW-480","2016","Grand Touring","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
19,"Mazda 2 Grand Touring","$ 51.500.000","2016","15.500 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454049135-mazda-mazda-2-grand-touring-_JM","Blanco","Gasolina","15500","Mazda","Mazda 2","No","USX-133","2016","Grand Touring","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
20,"Mazda 2 Sedan","$ 31.490.000","2011","52.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454004466-mazda-mazda-2-2011-_JM","Gris","Gasolina","52000","Mazda","Mazda 2","Sí","BXQ-788","2011","Sedan","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
21,"Mazda 2 Hb","$ 26.500.000","2009","76.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453813607-mazda-mazda-2-2009-_JM","Plateado","Gasolina","76000","Mazda","Mazda 2","No","ITY-686","2009","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
