Departamento,Municipio,CentroPoblado,Longitud,Latitud
ANTIOQUIA,MEDELLÍN,MEDELLÍN,"""-75,5760017134""","""6,24858636743"""
ANTIOQUIA,MEDELLÍN,PALMITAS,"""-75,6899859872""","""6,3439224059"""
ANTIOQUIA,MEDELLÍN,SANTA ELENA,"""-75,5003166982""","""6,20967456778"""
ANTIOQUIA,MEDELLÍN,ALTAVISTA,"""-75,6299441751""","""6,22248273057"""
ANTIOQUIA,MEDELLÍN,AGUAS FRÍAS,"""-75,6339460169""","""6,2333355874"""
ANTIOQUIA,MEDELLÍN,LA LOMA,"""-75,6297540724""","""6,26890878235"""
ANTIOQUIA,MEDELLÍN,SAN JOSÉ DEL MANZANILLO,"""-75,61342487""","""6,20581068001"""
ANTIOQUIA,MEDELLÍN,BARRO BLANCO,"""-75,4775622151""","""6,23479805798"""
ANTIOQUIA,MEDELLÍN,EL CERRO,"""-75,489476496""","""6,20035636487"""
ANTIOQUIA,MEDELLÍN,EL PATIO,"""-75,6511004924""","""6,27784108634"""
ANTIOQUIA,MEDELLÍN,EL PLACER,"""-75,4930142589""","""6,22476631163"""
ANTIOQUIA,MEDELLÍN,EL PLAN,"""-75,5183705""","""6,20435971513"""
ANTIOQUIA,MEDELLÍN,LA ALDEA,"""-75,7035503836""","""6,34243040051"""
ANTIOQUIA,MEDELLÍN,LA CUCHILLA,"""-75,6535467831""","""6,29350870315"""
ANTIOQUIA,MEDELLÍN,LA PALMA,"""-75,6481527137""","""6,27383086596"""
ANTIOQUIA,MEDELLÍN,LAS PLAYAS,"""-75,6489995687""","""6,28394357047"""
ANTIOQUIA,MEDELLÍN,PIEDRA GORDA,"""-75,498182909""","""6,23489261348"""
ANTIOQUIA,MEDELLÍN,POTRERITO,"""-75,667907579""","""6,18307451818"""
ANTIOQUIA,MEDELLÍN,TRAVESIAS,"""-75,6431084203""","""6,28703191801"""
ANTIOQUIA,MEDELLÍN,URQUITA,"""0,""","""0,"""
ANTIOQUIA,MEDELLÍN,BOQUERÓN,"""-75,6573758995""","""6,31466453166"""
ANTIOQUIA,MEDELLÍN,EL LLANO 1,"""-75,6494934186""","""6,29451550368"""
ANTIOQUIA,MEDELLÍN,EL LLANO,"""-75,5033167357""","""6,19831282539"""
ANTIOQUIA,MEDELLÍN,LA VERDE,"""-75,6394956297""","""6,19043349672"""
ANTIOQUIA,MEDELLÍN,MATASANO,"""-75,492529472""","""6,25765451031"""
ANTIOQUIA,MEDELLÍN,MATASANO 2,"""-75,5054392905""","""6,26734684369"""
ANTIOQUIA,MEDELLÍN,MAZO,"""-75,49872337""","""6,248320747"""
ANTIOQUIA,MEDELLÍN,MAZO 1,"""0,""","""0,"""
ANTIOQUIA,MEDELLÍN,MEDIA LUNA,"""-75,5159979268""","""6,24024827186"""
ANTIOQUIA,MEDELLÍN,LAS CAMELIAS,"""-75,6433753534""","""6,19672626844"""
ANTIOQUIA,ABEJORRAL,ABEJORRAL,"""-75,4287403904""","""5,78930111433"""
ANTIOQUIA,ABEJORRAL,PANTANILLO,"""-75,492961864""","""5,730917629"""
ANTIOQUIA,ABEJORRAL,NARANJAL,"""-75,514169806""","""5,763411113"""
ANTIOQUIA,ABEJORRAL,LAS CANOAS,"""-75,428660109""","""5,78202887815"""
ANTIOQUIA,ABRIAQUÍ,ABRIAQUÍ,"""-76,0642948678""","""6,63228195504"""
ANTIOQUIA,ABRIAQUÍ,POTREROS SECTOR 1,"""-76,0894075977""","""6,67479034665"""
