"Precio"|"Modelo_anyo"|"Ubicacion"|"Color"|"Combustible"|"Recorrido"|"Departamento"|"Ciudad"|"Barrio"|"Unico"|"Placa"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"Ubicacion_r"|"Color_r"|"Combustible_r"|"Departamento_r"|"Ciudad_r"|"Barrio_r"|"Placa_r"|"Version_r"|"Asientos_r"|"Cilindros_r"|"Direccion_r"|"Motor_r"|"Sonido_r"|"Traccion_r"|"Transmision_r"|"Vidrios_r"
22900000|2009|"Bogotá D.c."|"Gris"|"Gasolina"|81000|"Bogotá D.c. "|" Engativa"|" Normandía"|0|"AAAAA3"||0|0|0|"Tela"||"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|1|0|0|0|"3"|"5"|"1"|"3"|"21"|"117"|"44"||"3"||"2"|"23"|"2"|"1"|"2"|"1"
25500000|2010|"Bogotá D.c."|"Gris"|"Gasolina"|79400|"Bogotá D.c. "|" Usaquén"|" Multicentro"|0|"DDI806"||0|0|0|"Tela"||"Hidráulica"|0|"1500"|0|0|"CD"|"4x2"|"Automática"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|"3"|"5"|"1"|"3"|"53"|"115"|"112"||"3"||"2"|"23"|"1"|"1"|"1"|"1"
27600000|2011|"Bogotá D.c."|"Blanco"|"Gasolina"|67000|"Bogotá D.c. "|" Kennedy"|" Ciudad Kennedy Central"|0|"KKR-705"|"HATCHBACK"|0|0|0|"Cuero"||"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0|1|0|0|0|"3"|"3"|"1"|"3"|"28"|"49"|"356"|"40"|"1"||"2"|"23"|"2"|"1"|"1"|"1"
26900000|2011|"Santander"|"Plateado"|"Gasolina"|63000|"Santander "|" Bucaramanga"||0|"KKR-173"||0|0|0|"Tela"||"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|1|0|0|0|1|0|0|0|0|1|1|1|1|1|1|1|0|1|0|0|0|"19"|"9"|"1"|"19"|"9"||"355"||"3"||"2"|"23"|"2"||"2"|"1"
31000000|2013|"Bogotá D.c."|"Blanco"|"Gasolina"|31900|"Bogotá D.c. "|" Martires"|" Ricaurte"|0|"NBZ-510"||0|0|0|"Cuero"||"Hidráulica"|0|"1500"|0|0|"MP3"||"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|1|0|0|0|"3"|"3"|"1"|"3"|"32"|"134"|"425"||"1"||"2"|"23"|"2"||"2"|"1"
37800000|2015|"Bogotá D.c."|"Gris"|"Gasolina"|30100|"Bogotá D.c. "|" Engativa"|" La Granja"|0|"UCR-137"||0|0|0|"Tela"|"1498"|"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"3"|"5"|"1"|"3"|"21"|"90"|"528"||"3"|"3"|"2"|"23"|"2"||"2"|"1"
34500000|2014|"Antioquia"|"Gris"|"Gasolina"|52000|"Antioquia "|" Medellín"||0|"XXXXX8"||0|0|0|"Tela"||"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"1"|"5"|"1"|"1"|"33"||"567"||"3"||"2"|"23"|"2"|"1"|"1"|"1"
32000000|2014|"Valle Del Cauca"|"Blanco"|"Gasolina"|52000|"Valle Del Cauca "|" Cali"|||"HYL-248"|||0|0|"Cuero"||"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|0|0|0|0|0|0|0|0|0|0|1|1|1|0|1|0|0|1|0|0|0|"21"|"3"|"1"|"21"|"13"||"231"||"1"||"2"|"23"|"2"||"2"|"1"
22900000|2009|"Bogotá D.c."|"Azul"|"Gasolina"|84100|"Bogotá D.c. "|" Kennedy"|" Nueva Marsella I, Ii  y III Sector"|0|"COB-117"|"HB"|0|0|0|"Tela"|"4"|"Hidráulica"||"1500"|0||"MP3"||"Mecánica"|"Eléctricos"|1|1|0|0|0|0|0|0|0|1|0|1|1|0|1|1|0|1|0|0|1|"3"|"1"|"1"|"3"|"28"|"118"|"62"|"44"|"3"|"8"|"2"|"23"|"2"||"2"|"1"
37500000|2015|"Bogotá D.c."|"Gris"|"Gasolina"|31700|"Bogotá D.c. "|" Kennedy"|" Roma"|0|"ZXY-577"|"HB FE AT 1.5 AA AB ABS"|0|0|0|"Tela"||"Hidráulica"|0|"1500"|0|0|"MP3"||"Automática"|"Eléctricos"|1|1|0|0|1|0|0|0|1|0|1|0|1|1|1|1|0|1|0|0|0|"3"|"5"|"1"|"3"|"28"|"138"|"568"|"50"|"3"||"2"|"23"|"2"||"1"|"1"
