"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
1|"Mazda 2 215hm8"|"$ 20.900.000"|"2008"|"81.942 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454166988-mazda-2-mt-1500cc-aa-2ab-abs-segundo-dueno-_JM"|"Azul"|"Gasolina"|"81942"|"Mazda"|"Mazda 2"|"No"|"CYX841"|"2008"|"215HM8"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"||"Mecánica"|"Eléctricos"|1|1||||||1|1|1|1|1|1|1|1|1||1||||2017-08-18
2|"Mazda 2 Hatchback"|"$ 24.500.000"|"2008"|"94.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454441093-mazda-2-_JM"|"Verde"|"Gasolina"|"94000"|"Mazda"|"Mazda 2"|"No"|"FHA333"|"2008"|"HATCHBACK"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"Sí"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1||||||||1|1|1|1|1|1|1||1||||2017-08-18
3|"Mazda 2 215ha8"|"$ 22.500.000"|"2009"|"102.204 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454164915-mazda-2-automatico-1500cc-aa-2abs-ab-unico-dueno-_JM"|"Negro"|"Gasolina"|"102204"|"Mazda"|"Mazda 2"|"No"|"DCB127"|"2009"|"215HA8"|"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"||"Automática"|"Eléctricos"|1|1|||||||1|1|1|1|1|1|1|1||1||||2017-08-18
4|"Mazda 2 Automatico"|"$ 31.500.000"|"2013"|"32.125 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454153887-mazda-2-aut-_JM"|"Plateado"|"Gasolina"|"32125"|"Mazda"|"Mazda 2"||"NBT800"|"2013"|"Automatico"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"||"1,5L"|"Sí"||"MP3"||"Automática"|||1|||||||||1|1|||1|||1||||2017-08-18
5|"Mazda 2 Sedan At"|"$ 28.000.000"|"2011"|"35.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454555176-mazda-mazda-2-sedan-at-_JM"|"Negro"|"Gasolina"|"35000"|"Mazda"|"Mazda 2"|"Sí"|"*** ***"|"2011"|"SEDAN AT"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1|1|||||||||1|1|1||1|||1||||2017-08-18
6|"Mazda 2 Touring Skyactive Automatico"|"$ 44.500.000"|"2016"|"33.000 Km"|"Santander"|"http://articulo.tucarro.com.co/MCO-454496809-mazda-mazda-2-touring-skyactive-automatico-_JM"|"Plateado"|"Gasolina"|"33000"|"Mazda"|"Mazda 2"|"Sí"|"UUU-997"|"2016"|"Touring Skyactive Automatico"|"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"||||||||||1||1|1|||||||||2017-08-18
7|"Mazda 2"|"$ 28.000.000"|"2011"|"69.800 Km"|"Cundinamarca"|"http://articulo.tucarro.com.co/MCO-454409780-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"69800"|"Mazda"|"Mazda 2"|"No"|"***-**9"|"2011"|||"Sí"|"Sí"|"Tela"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1||||||||||1|1|1|1||||1||||2017-08-18
8|"Mazda 2 Hatch Back"|"$ 26.500.000"|"2010"|"61.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454045454-mazda-mazda-2-hatch-back-_JM"|"Blanco"|"Gasolina"|"61000"|"Mazda"|"Mazda 2"|"Sí"|"RBR230"|"2010"|"HATCH BACK"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Asistida"|"No"|"1500"|"Sí"|"No"|"CD"||"Mecánica"|"Eléctricos"|1||||||||||1|1|1|1|1|||1||||2017-08-18
9|"Mazda 2 Hb"|"$ 26.500.000"|"2009"|"83.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454496306-mazda-mazda-2-hb-_JM"|"Rojo"|"Gasolina"|"83000"|"Mazda"|"Mazda 2"|"No"|"FHD-734"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||1||||||1||1|1||1|1|||||1|2017-08-18
10|"Mazda 2"|"$ 25.500.000"|"2010"|"102.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454110717-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"102000"|"Mazda"|"Mazda 2"||"FHP-646"|"2010"||"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"||"MP3"|"4x2"|"Mecánica"|"Eléctricos"||1||||||||||1|||1|||||||2017-08-18
11|"Mazda 2 Hb"|"$ 27.000.000"|"2009"|"61.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454108446-mazda-mazda-2-hb-_JM"|"Gris"|"Gasolina"|"61000"|"Mazda"|"Mazda 2"|"No"|"MON-905"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Cuero"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||||||||1|1|1|1||1|1||1||||2017-08-18
12|"Mazda 2 Mazda 2"|"$ 22.500.000"|"2009"|"112.600 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454464371-mazda-2-mecanico-15-full-equipo-_JM"|"Rojo"|"Gasolina"|"112600"|"Mazda"|"Mazda 2"|"No"|"DCE 383"|"2009"|"Mazda 2"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|||||||||||1|1||1|||1||||2017-08-18
