"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Departamento"|"Ciudad"|"Barrio"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
1|"Mazda 2 2012"|"$ 32.800.000"|"2012"|"70.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-455505252-mazda-mazda-2-2012-_JM"|"Gris"||"70000"|"Mazda"|"Antioquia "|" Medellín"|" Santa Mónica"|"Mazda 2"||"kmq567"|"2012"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-09-04
2|"Mazda 2 Gran Touring"|"$ 48.000.000"|"2016"|"23.100 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455602897-mazda-mazda-2-gran-touring-_JM"|"Rojo"|"Gasolina"|"23100"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" Multicentro"|"Mazda 2"|"Sí"|"***-**0"|"2016"|"Gran Touring"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Automática"|"Eléctricos"|1|1||||||||1|1|1|1||1|||1|||1|2017-09-04
3|"Mazda 2"|"$ 31.000.000"|"2012"|"34.699 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455594749-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"34699"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" El Contador"|"Mazda 2"|"No"|"RJN-219"|"2012"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"||1|||||||||||1|1||||1||||2017-09-04
4|"Mazda 2 Touring"|"$ 42.500.000"|"2016"|"28.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455549208-mazda-mazda-2-touring-_JM"|"Gris"|"Gasolina"|"28000"|"Mazda"|"Bogotá D.c. "|" Kennedy"|" Américas Central"|"Mazda 2"|"Sí"|"IMN-998"|"2016"|"TOURING"|"Sí"|"Sí"|"Sí"|"Tela"|"4+1"|"Asistida"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1|||||||||1|1|||1|1||1|||1|2017-09-04
5|"Mazda 2 Hb Mt 1500cc"|"$ 27.300.000"|"2010"|"52.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455520097-mazda-mazda-2-hb-mt-1500cc-_JM"|"Rojo"|"Gasolina"|"52000"|"Mazda"|"Bogotá D.c. "|" Teusaquillo"|" Quinta Paredes"|"Mazda 2"|"Sí"|"RAV-665"|"2010"|"HB MT 1500CC"|"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Hidráulica"|"No"|"1.5"|"Sí"|"No"|"CD"||"Mecánica"|"Eléctricos"|||||||||||1|1|1||1|1||1||||2017-09-04
6|"Mazda 2 Hb"|"$ 26.000.000"|"2011"|"88.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455519828-mazda-mazda-2-hb-_JM"|"Gris"|"Gasolina"|"88000"|"Mazda"|"Bogotá D.c. "|" Chapinero"|" Chapinero Central"|"Mazda 2"|"No"|"KIT-770"|"2011"|"HB"|"Sí"|"Sí"|"Sí"|"Cuero"|"4c-16v"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Mecánica"|"Eléctricos"||||||||||||1||||||1||||2017-09-04
7|"Mazda 2"|"$ 32.500.000"|"2013"|"29.350 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455506271-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"29350"|"Mazda"|"Bogotá D.c. "|" Chapinero"|" Chapinero Central"|"Mazda 2"|"No"|"XXX-XX4"|"2013"||"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Mecánica"|"Eléctricos"|1||||1|||||1|1|1|1|1|1|1||1||||2017-09-04
8|"Mazda 2 Hatch Back Sport 1.5 At F.e"|"$ 31.500.000"|"2012"|"56.500 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455505337-mazda-mazda-2-hatch-back-sport-15-at-fe-_JM"|"Plateado"|"Gasolina"|"56500"|"Mazda"|"Bogotá D.c. "|" Suba"|" Prado Pinzón"|"Mazda 2"|"Sí"|"MCQ971"|"2012"|"HATCH BACK SPORT  1.5 AT F.E"|"Sí"|"Sí"|"Sí"|"Cuero"||"Asistida"|"No"|"1500CC"|"Sí"|"No"|"MP3"||"Automática"|"Eléctricos"|1|1||||||||1|1|1|||1|1||1|||1|2017-09-04
9|"Mazda 2"|"$ 28.900.000"|"2011"|"76.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455464465-mazda-mazda-2-_JM"|"Rojo"|"Gasolina"|"76000"|"Mazda"|"Bogotá D.c. "|" Suba"|" Niza"|"Mazda 2"|"Sí"|"***-**5"|"2011"||"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"Sí"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||||||1|1|1|1|1|1|1|1|1||1|||1|2017-09-04
10|"Mazda 2"|"$ 30.000.000"|"2011"|"110.000 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-455392719-mazda-mazda-2-_JM"|"Plateado"|"Gasolina"|"110000"|"Mazda"|"Risaralda "|" Pereira"||"Mazda 2"||"RCX-763"|"2011"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|||||||||||1||1||1|1||||||2017-09-04
