"Variable"|"tipoVariable"|"Min"|"Mediana"|"Media"|"Max"|"Q5"|"Q10"|"Q25"|"Q50"|"Q75"|"Q90"|"Q95"|"Porc_Nulos"|"Cant_Nulos"|"Total"
"Precio"|"integer"|"0"|"31000000"|"34187477.0206022"|"59900000"|"23000000"|"24500000"|"27000000"|"31000000"|"39100000"|"49900000"|"52510000"|0|0|631
"Modelo_anyo"|"integer"|"2008"|"2012"|"2012.81933438986"|"2018"|"2009"|"2009"|"2011"|"2012"|"2015"|"2017"|"2017"|0|0|631
"Ubicacion"|"character"|"Antioquia"|"Bogotá D.c."|"Boyaca"|"Valle Del Cauca"|"Antioquia"|"Antioquia"|"Antioquia"|"Bogotá D.c."|"Bogotá D.c."|"Risaralda"|"Valle Del Cauca"|0|0|631
"Color"|"character"|"Azul"|"Gris"|"Gris"|"Vinotinto"|"Azul"|"Blanco"|"Blanco"|"Gris"|"Plateado"|"Rojo"|"Rojo"|0|0|631
"Combustible"|"character"||"Gasolina"|"Gasolina"||"Gasolina"|"Gasolina"|"Gasolina"|"Gasolina"|"Gasolina"|"Gasolina"|"Gasolina"|0,231378763866878|146|631
"Recorrido"|"integer"|"0"|"52000"|"212986.324881141"|"99999999"|"0"|"7000"|"28000"|"52000"|"76000"|"96000"|"110306"|0|0|631
"Departamento"|"character"|"Antioquia "|"Bogotá D.c."|"Boyaca"|"Valle Del Cauca "|"Antioquia"|"Antioquia"|"Antioquia"|"Bogotá D.c."|"Bogotá D.c."|"Risaralda"|"Valle Del Cauca"|0|0|631
"Ciudad"|"character"|" Aguachica"|"Medellín"|"Kennedy"|" Yopal"|"Bello"|"Bogota"|"Cali"|"Medellín"|"Pereira"|"Suba"|"Usaquén"|0|0|631
"Barrio"|"character"||"Gratamira"|"La Calleja"||"Altos del Poblado"|"Belén Loma de los Bernal"|"Chapinero Alto"|"Gratamira"|"Normandía"|"San Pedro"|"Teusaquillo"|0,45324881141046|286|631
"Unico"|"integer"|||||"0"|"0"|"0"|"0"|"0"|"0"|"0"|0,396196513470681|250|631
