Variable|tipoVariable|Min|Mediana|Media|Max|Q5|Q10|Q25|Q50|Q75|Q90|Q95|Porc_Nulos|Cant_Nulos|Total
Precio|integer|0|31000000|34187477.0206022|59900000|23000000|24500000|27000000|31000000|39100000|49900000|52510000|0|0|631
Modelo_anyo|integer|2008|2012|2012.81933438986|2018|2009|2009|2011|2012|2015|2017|2017|0|0|631
Recorrido|integer|0|52000|212986.324881141|99999999|0|7000|28000|52000|76000|96000|110306|0|0|631
Unico|integer|||||0|0|0|0|0|0|0|0,396196513470681|250|631
FrenosABS|integer|||||0|0|0|0|0|0|0|0,304278922345483|192|631
Aire|integer|||||0|0|0|0|0|0|0|0,223454833597464|141|631
Airbag|integer|||||0|0|0|0|0|0|0|0,232963549920761|147|631
Financiamiento|integer|||||0|0|0|0|0|0|0|0,402535657686212|254|631
Negociable|integer|0|0|0|0|0|0|0|0|0|0|0|0|0|631
MotorReparado|integer|||||0|0|0|0|0|0|0|0,516640253565769|326|631
AlarmaControl|integer|0|1|0.587955625990491|1|0|0|0|1|1|1|1|0|0|631
Asegurado|integer|0|0|0.232963549920761|1|0|0|0|0|0|1|1|0|0|631
RastreoSatelital|integer|0|0|0.00792393026941363|1|0|0|0|0|0|0|0|0|0|631
CD|integer|0|0|0.0776545166402536|1|0|0|0|0|0|0|1|0|0|631
DVD|integer|0|0|0.063391442155309|1|0|0|0|0|0|0|1|0|0|631
Planta|integer|0|0|0.01743264659271|1|0|0|0|0|0|0|0|0|0|631
Buffer|integer|0|0|0.0206022187004754|1|0|0|0|0|0|0|0|0|0|631
Estribos|integer|0|0|0.0427892234548336|1|0|0|0|0|0|0|0|0|0|631
ForroLlantaRepuesto|integer|0|0|0.0206022187004754|1|0|0|0|0|0|0|0|0|0|631
LlantasNuevas|integer|0|0|0.256735340729002|1|0|0|0|0|1|1|1|0|0|631
LucesAntiNiebla|integer|0|0|0.469096671949287|1|0|0|0|0|1|1|1|0|0|631
PeliculaSeguridad|integer|0|0|0.483359746434231|1|0|0|0|0|1|1|1|0|0|631
RetrovisoresElectricos|integer|0|1|0.527733755942948|1|0|0|0|1|1|1|1|0|0|631
ReVTecnicoMecanica|integer|0|0|0.259904912836767|1|0|0|0|0|1|1|1|0|0|631
RinesLujo|integer|0|1|0.51188589540412|1|0|0|0|1|1|1|1|0|0|631
Spoiler|integer|0|0|0.256735340729002|1|0|0|0|0|1|1|1|0|0|631
SunRoof|integer|0|0|0.0158478605388273|1|0|0|0|0|0|0|0|0|0|631
BloqueoCentral|integer|0|1|0.602218700475436|1|0|0|0|1|1|1|1|0|0|631
ForroVolante|integer|0|0|0.05229793977813|1|0|0|0|0|0|0|1|0|0|631
ForroAsientos|integer|0|0|0.0253565768621236|1|0|0|0|0|0|0|0|0|0|631
VolanteDeportivo|integer|0|0|0.164817749603803|1|0|0|0|0|0|1|1|0|0|631


